,O3
1751-12-31,19.162346
1980-12-31,22.421062
1990-12-31,23.444738
2000-12-31,23.945917
2005-12-31,23.9359
2010-12-31,24.16633
2015-12-31,23.803415
2020-12-31,24.145525
