,O3
1751-12-31,20.48901
1980-12-31,33.37655
1990-12-31,35.14526
2000-12-31,36.207718
2005-12-31,36.419544
2010-12-31,36.303944
2015-12-31,36.22408
2020-12-31,35.535217
