Thu Dec  9 10:58:27 2021    cProfile_output

         15254792 function calls (14983050 primitive calls) in 20.212 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      120    0.012    0.000    0.614    0.005 conventions.py:436(decode_cf_variables)
     7093    0.006    0.000    0.603    0.000 inspect.py:3081(signature)
     1808    0.007    0.000    0.599    0.000 __init__.py:2124(distributions_from_metadata)
     7093    0.007    0.000    0.597    0.000 inspect.py:2829(from_callable)
     2040    0.031    0.000    0.592    0.000 conventions.py:260(decode_cf_variable)
5873/3341    0.081    0.000    0.572    0.000 base.py:276(__new__)
     2450    0.032    0.000    0.564    0.000 utils.py:109(compute_meta)
     1230    0.004    0.000    0.544    0.000 construction.py:56(arrays_to_mgr)
     1560    0.017    0.000    0.543    0.000 core.py:2639(from_array)
     5570    0.010    0.000    0.491    0.000 utils.py:1359(has_keyword)
     1148    0.477    0.000    0.477    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.471    0.471 duck_array_ops.py:5(<module>)
        3    0.000    0.000    0.461    0.154 __init__.py:6(<module>)
        1    0.000    0.000    0.459    0.459 dask_array_compat.py:1(<module>)
       20    0.236    0.012    0.458    0.023 optimization.py:401(fuse)
        1    0.000    0.000    0.453    0.453 combine.py:478(combine_by_coords)
     1280    0.004    0.000    0.452    0.000 variable.py:695(__getitem__)
    32252    0.053    0.000    0.449    0.000 variable.py:288(__init__)
      121    0.002    0.000    0.447    0.004 dataset.py:461(__init__)
      122    0.002    0.000    0.444    0.004 merge.py:501(merge_core)
      121    0.001    0.000    0.444    0.004 merge.py:461(merge_data_and_coords)
     4147    0.015    0.000    0.428    0.000 variable.py:69(as_variable)
        1    0.000    0.000    0.424    0.424 pyplot.py:19(<module>)
     1210    0.002    0.000    0.424    0.000 groupby.py:728(_iter_grouped_shortcut)
4553/4442    0.090    0.000    0.424    0.000 {built-in method builtins.__build_class__}
     1210    0.014    0.000    0.417    0.000 concat.py:454(get_result)
     1220    0.017    0.000    0.398    0.000 reductions.py:198(_tree_reduce)
     1240    0.003    0.000    0.386    0.000 indexing.py:1316(__getitem__)
      122    0.005    0.000    0.386    0.003 merge.py:238(collect_variables_and_indexes)
     1210    0.020    0.000    0.384    0.000 concat.py:292(__init__)
     1240    0.020    0.000    0.383    0.000 core.py:1483(__getitem__)
        1    0.000    0.000    0.378    0.378 __init__.py:569(_build_master)
        1    0.000    0.000    0.378    0.378 __init__.py:556(__init__)
     4301    0.043    0.000    0.377    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        1    0.000    0.000    0.374    0.374 embed.py:4(<module>)
     2041    0.016    0.000    0.374    0.000 <frozen importlib._bootstrap>:882(_find_spec)
65167/65128    0.038    0.000    0.366    0.000 {built-in method builtins.all}
     1220    0.038    0.000    0.359    0.000 reductions.py:256(partial_reduce)
        2    0.000    0.000    0.355    0.178 __init__.py:14(<module>)
        2    0.000    0.000    0.349    0.175 base.py:5(<module>)
        1    0.000    0.000    0.345    0.345 class_weight.py:5(<module>)
     2036    0.002    0.000    0.344    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
        1    0.000    0.000    0.344    0.344 validation.py:1(<module>)
2040/2038    0.010    0.000    0.343    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     1210    0.008    0.000    0.337    0.000 managers.py:1988(concatenate_block_managers)
     5930    0.061    0.000    0.332    0.000 base.py:640(tokenize)
        1    0.000    0.000    0.332    0.332 combine.py:150(_combine_nd)
     5283    0.043    0.000    0.332    0.000 core.py:1010(__new__)
        1    0.000    0.000    0.332    0.332 combine.py:210(_combine_all_along_first_dim)
        1    0.000    0.000    0.332    0.332 combine.py:231(_combine_1d)
        1    0.001    0.001    0.332    0.332 concat.py:11(concat)
        1    0.001    0.001    0.331    0.331 concat.py:284(_dataset_concat)
26773/22685    0.050    0.000    0.330    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1230    0.005    0.000    0.324    0.000 managers.py:1667(create_block_manager_from_arrays)
52156/52036    0.163    0.000    0.323    0.000 {built-in method builtins.sorted}
     9963    0.081    0.000    0.319    0.000 core.py:2325(normalize_chunks)
     9880    0.113    0.000    0.318    0.000 inspect.py:2117(_signature_from_function)
     1210    0.003    0.000    0.317    0.000 concat.py:513(_get_new_axes)
     1210    0.003    0.000    0.312    0.000 concat.py:516(<listcomp>)
        7    0.000    0.000    0.310    0.044 __init__.py:5(<module>)
     2870    0.006    0.000    0.303    0.000 variable.py:2038(__init__)
     9600    0.060    0.000    0.298    0.000 local.py:443(fire_task)
     1687    0.005    0.000    0.290    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        1    0.000    0.000    0.288    0.288 tutorial.py:7(<module>)
        1    0.000    0.000    0.286    0.286 fixes.py:5(<module>)
        1    0.000    0.000    0.283    0.283 __init__.py:381(<module>)
     1687    0.280    0.000    0.280    0.000 {built-in method marshal.loads}
     2870    0.005    0.000    0.277    0.000 indexing.py:1353(__init__)
    52777    0.033    0.000    0.274    0.000 utils.py:491(ndim)
2890/2880    0.004    0.000    0.272    0.000 utils.py:86(safe_cast_to_index)
       10    0.000    0.000    0.272    0.027 pyplot.py:1083(subplots)
      490    0.001    0.000    0.271    0.001 variable.py:465(to_index_variable)
        1    0.000    0.000    0.265    0.265 stats.py:162(<module>)
       10    0.000    0.000    0.263    0.026 figure.py:1427(subplots)
58390/24870    0.051    0.000    0.263    0.000 utils.py:500(__call__)
       10    0.000    0.000    0.262    0.026 figure.py:1261(add_subplot)
       10    0.000    0.000    0.260    0.026 _subplots.py:18(__init__)
       10    0.001    0.000    0.257    0.026 _base.py:421(__init__)
1891/1886    0.005    0.000    0.257    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
42600/41760    0.180    0.000    0.256    0.000 indexing.py:545(shape)
        6    0.000    0.000    0.255    0.043 api.py:3(<module>)
      120    0.001    0.000    0.255    0.002 common.py:101(load)
  840/720    0.002    0.000    0.255    0.000 indexing.py:555(__array__)
        1    0.000    0.000    0.252    0.252 cfgrib_.py:1(<module>)
        2    0.000    0.000    0.249    0.124 locks.py:1(<module>)
        1    0.000    0.000    0.248    0.248 distributed.py:2(<module>)
      480    0.003    0.000    0.248    0.001 utils.py:401(FrozenDict)
    13528    0.245    0.000    0.245    0.000 {built-in method posix.stat}
      120    0.000    0.000    0.244    0.002 netCDF4_.py:398(get_variables)
        1    0.000    0.000    0.241    0.241 interactiveshell.py:1(<module>)
     2160    0.002    0.000    0.240    0.000 netCDF4_.py:400(<genexpr>)
     2040    0.029    0.000    0.238    0.000 netCDF4_.py:369(open_store_variable)
    48999    0.024    0.000    0.228    0.000 variable.py:321(shape)
    32282    0.033    0.000    0.223    0.000 variable.py:496(_parse_dimensions)
        1    0.000    0.000    0.220    0.220 __init__.py:106(<module>)
        7    0.000    0.000    0.219    0.031 __init__.py:4(<module>)
    11948    0.006    0.000    0.218    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     8869    0.009    0.000    0.216    0.000 variable.py:814(copy)
     2040    0.003    0.000    0.215    0.000 times.py:420(decode)
    17016    0.107    0.000    0.215    0.000 utils.py:31(meta_from_array)
     1230    0.028    0.000    0.215    0.000 managers.py:1700(form_blocks)
     1210    0.212    0.000    0.212    0.000 lowess_smoother.py:101(<listcomp>)
     1560    0.013    0.000    0.210    0.000 core.py:194(getem)
     2480    0.010    0.000    0.210    0.000 managers.py:122(__init__)
       10    0.001    0.000    0.207    0.021 _base.py:960(cla)
     8869    0.019    0.000    0.205    0.000 variable.py:900(_replace)
     1210    0.003    0.000    0.200    0.000 concat.py:526(_get_concat_axis)
  199/196    0.001    0.000    0.200    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
    62605    0.046    0.000    0.200    0.000 base.py:247(is_dtype)
  199/196    0.194    0.001    0.199    0.001 {built-in method _imp.create_dynamic}
       14    0.000    0.000    0.197    0.014 variable.py:2295(concat)
     1211    0.004    0.000    0.196    0.000 base.py:3963(append)
      120    0.001    0.000    0.196    0.002 file_manager.py:223(__del__)
     1210    0.002    0.000    0.196    0.000 concat.py:586(_concat_indexes)
       20    0.037    0.002    0.196    0.010 order.py:81(order)
567212/565166    0.106    0.000    0.195    0.000 {built-in method builtins.getattr}
      120    0.001    0.000    0.194    0.002 file_manager.py:213(close)
      120    0.192    0.002    0.192    0.002 {method 'close' of 'netCDF4._netCDF4.Dataset' objects}
      737    0.002    0.000    0.191    0.000 duck_array_ops.py:35(f)
        1    0.000    0.000    0.190    0.190 actor.py:1(<module>)
     1211    0.003    0.000    0.189    0.000 base.py:3992(_concat)
        1    0.000    0.000    0.189    0.189 __init__.py:385(<module>)
    13615    0.018    0.000    0.188    0.000 re.py:271(_compile)
     2440    0.052    0.000    0.187    0.000 inspect.py:1723(_signature_get_partial)
       13    0.000    0.000    0.187    0.014 duck_array_ops.py:267(concatenate)
    60060    0.168    0.000    0.185    0.000 core.py:157(get_dependencies)
     1210    0.183    0.000    0.183    0.000 lowess_smoother.py:105(<listcomp>)
      120    0.001    0.000    0.181    0.002 times.py:67(_decode_cf_datetime_dtype)
       20    0.019    0.001    0.179    0.009 optimization.py:111(optimize_slices)
        1    0.000    0.000    0.177    0.177 distributions.py:8(<module>)
      720    0.002    0.000    0.177    0.000 netCDF4_.py:71(__getitem__)
      240    0.001    0.000    0.175    0.001 times.py:135(decode_cf_datetime)
      720    0.004    0.000    0.175    0.000 indexing.py:809(explicit_indexing_adapter)
        1    0.000    0.000    0.172    0.172 delayed.py:1(<module>)
      920    0.007    0.000    0.171    0.000 __init__.py:2578(from_location)
     3150    0.035    0.000    0.168    0.000 inspect.py:1089(getfullargspec)
     5273    0.049    0.000    0.167    0.000 highlevelgraph.py:87(from_collections)
     1230    0.005    0.000    0.162    0.000 construction.py:300(_homogenize)
     1240    0.007    0.000    0.162    0.000 slicing.py:85(slice_array)
