Thu Dec  9 10:56:27 2021    cProfile_output

         16113513 function calls (15818872 primitive calls) in 21.766 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1892    0.007    0.000    0.012    0.000 <frozen importlib._bootstrap>:318(__exit__)
     7556    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     1687    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:35(_new_module)
     2584    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:369(__init__)
     3574    0.003    0.000    0.028    0.000 <frozen importlib._bootstrap>:403(cached)
    31916    0.022    0.000    0.032    0.000 <frozen importlib._bootstrap>:416(parent)
     1892    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
     1892    0.011    0.000    0.050    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
1892/1887    0.005    0.000    0.257    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
     2091    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:58(__init__)
    15/14    0.000    0.000    0.027    0.002 <frozen importlib._bootstrap>:634(_load_backward_compatible)
  1907/12    0.011    0.000    4.263    0.355 <frozen importlib._bootstrap>:663(_load_unlocked)
     2042    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(find_spec)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
     3387    0.009    0.000    0.009    0.000 <frozen importlib._bootstrap>:78(acquire)
     2037    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:792(find_spec)
     6501    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:855(__enter__)
     6501    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:859(__exit__)
      385    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
     2042    0.017    0.000    0.374    0.000 <frozen importlib._bootstrap>:882(_find_spec)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:929(_sanity_check)
  2087/11    0.011    0.000    4.271    0.388 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
  2100/12    0.048    0.000    4.271    0.356 <frozen importlib._bootstrap>:978(_find_and_load)
    18/16    0.000    0.000    0.132    0.008 <frozen importlib._bootstrap>:994(_gcd_import)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
  200/197    0.001    0.000    0.198    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
  200/164    0.000    0.000    0.156    0.001 <frozen importlib._bootstrap_external>:1048(exec_module)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1087(_find_parent_path_names)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(_get_parent_path)
        6    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1101(_recalculate)
        6    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1114(__iter__)
      228    0.006    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     3955    0.003    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
2041/2039    0.010    0.000    0.344    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     2037    0.003    0.000    0.345    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      237    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
