,lon,lat,region
0,5.6322,23.2625,europe
19,11.0245,47.8011,europe
20,-20.2884,63.3998,europe
27,-9.8990,53.3260,europe
32,11.8084,50.0301,europe
33,24.1200,67.9700,europe
