,mace_head
2007-06-01,101.16274
2007-07-01,88.69813
2007-08-01,86.7199
2007-09-01,83.89159
2007-10-01,94.240265
2007-11-01,98.087776
2007-12-01,118.320946
2008-01-01,117.97624
2008-02-01,147.52846
2008-03-01,126.0466
2008-04-01,127.34596
2008-05-01,130.35469
2008-06-01,104.60993
2008-07-01,96.72784
2008-08-01,91.46574
2008-09-01,92.313225
2008-10-01,90.45973
2008-11-01,100.311035
2008-12-01,117.71592
2009-01-01,124.17933
2009-02-01,122.32269
2009-03-01,127.93026
2009-04-01,123.0371
2009-05-01,114.23805
2009-06-01,95.29827
2009-07-01,78.08505
2009-08-01,81.2689
2009-09-01,84.007675
2009-10-01,83.59744
2009-11-01,96.43018
2009-12-01,110.23836
2010-01-01,121.348465
2010-02-01,135.38467
2010-03-01,131.65776
2010-04-01,127.117035
2010-05-01,108.98319
2010-06-01,101.83149
2010-07-01,97.525986
2010-08-01,98.77863
2010-09-01,98.95402
2010-10-01,102.713356
2010-11-01,104.79446
2010-12-01,112.94232
2011-01-01,112.72783
2011-02-01,113.60943
2011-03-01,122.05372
2011-04-01,115.20347
2011-05-01,103.46506
2011-06-01,85.62973
2011-07-01,86.2347
2011-08-01,84.92491
2011-09-01,84.39467
2011-10-01,85.97194
2011-11-01,105.37869
2011-12-01,102.80429
2012-01-01,108.54744
2012-02-01,113.82041
2012-03-01,121.36394
2012-04-01,114.97203
2012-05-01,107.83526
2012-06-01,91.44357
2012-07-01,93.63121
2012-08-01,101.75234
2012-09-01,105.24764
2012-10-01,104.38011
2012-11-01,101.11458
2012-12-01,113.24947
2013-01-01,122.18849
2013-02-01,129.22012
2013-03-01,142.40948
2013-04-01,122.630165
2013-05-01,101.78125
2013-06-01,100.60711
2013-07-01,113.99813
2013-08-01,105.40884
2013-09-01,96.915085
2013-10-01,95.73813
2013-11-01,93.6014
2013-12-01,101.70559
2014-01-01,112.59523
2014-02-01,117.67558
2014-03-01,118.94597
2014-04-01,119.487236
2014-05-01,105.29454
2014-06-01,81.95092
2014-07-01,88.519035
2014-08-01,125.08523
2014-09-01,126.54281
2014-10-01,102.510445
2014-11-01,112.6527
2014-12-01,107.2777
2015-01-01,114.471664
2015-02-01,114.65973
2015-03-01,124.36087
2015-04-01,117.78219
2015-05-01,106.608986
2015-06-01,95.789345
2015-07-01,94.60011
2015-08-01,106.71733
2015-09-01,101.24924
2015-10-01,97.415344
2015-11-01,100.30881
2015-12-01,109.50108
2016-01-01,120.37777
2016-02-01,124.77277
2016-03-01,118.48262
2016-04-01,114.67713
2016-05-01,105.31369
2016-06-01,93.166664
2016-07-01,85.41745
2016-08-01,87.42659
2016-09-01,83.12415
2016-10-01,96.648735
2016-11-01,94.84875
2016-12-01,101.46718
2017-01-01,106.68266
2017-02-01,118.19661
2017-03-01,114.55533
2017-04-01,103.1328
2017-05-01,97.436165
2017-06-01,82.33051
2017-07-01,85.881256
2017-08-01,116.17539
2017-09-01,169.94289
2017-10-01,116.13914
2017-11-01,106.0184
2017-12-01,104.56742
2018-01-01,112.95548
2018-02-01,118.74227
2018-03-01,122.64699
2018-04-01,115.17678
2018-05-01,107.61489
2018-06-01,100.14555
2018-07-01,97.64448
2018-08-01,106.557755
2018-09-01,118.97019
2018-10-01,97.78844
2018-11-01,111.22311
2018-12-01,105.27413
2019-01-01,106.061066
2019-02-01,117.22819
2019-03-01,111.45171
2019-04-01,125.47446
2019-05-01,101.4566
2019-06-01,90.071236
2019-07-01,87.49701
2019-08-01,114.284874
2019-09-01,110.82705
2019-10-01,106.8213
2019-11-01,115.13685
2019-12-01,116.14464
2020-01-01,119.29409
2020-02-01,125.47521
2020-03-01,133.46237
2020-04-01,127.087685
2020-05-01,110.88377
2020-06-01,97.919014
2020-07-01,88.53233
2020-08-01,114.60184
2020-09-01,110.14052
2020-10-01,116.29478
2020-11-01,114.80054
2020-12-01,121.30693
