,mace_head
1980-01-01,25.596297382710343
1980-02-01,28.61361360877599
1980-03-01,33.49202796102652
1980-04-01,36.680750881146196
1980-05-01,39.13438003762842
1980-06-01,33.67971815511813
1980-07-01,32.057863632512486
1980-08-01,30.0306200552042
1980-09-01,28.251757318760912
1980-10-01,29.46857651088228
1980-11-01,26.80864037429842
1980-12-01,28.720332778675584
1981-01-01,29.517027675109926
1981-02-01,27.33866326971273
1981-03-01,30.244967820547778
1981-04-01,35.76348917751678
1981-05-01,34.19225969025774
1981-06-01,28.594554812855222
1981-07-01,25.17468143625387
1981-08-01,26.52998302763873
1981-09-01,28.88616350560369
1981-10-01,31.325083029290937
1981-11-01,28.164325479214842
1981-12-01,21.59858141799341
1982-01-01,25.838865040426636
1982-02-01,27.557770732045128
1982-03-01,32.28142112044635
1982-04-01,36.15875717362845
1982-05-01,32.734730653725904
1982-06-01,33.67274802693979
1982-07-01,32.687038967999854
1982-08-01,31.038518679980047
1982-09-01,27.9488019098532
1982-10-01,28.799526605798892
1982-11-01,27.364227210095276
1982-12-01,26.31324268153798
1983-01-01,28.007080583018897
1983-02-01,24.126398371190508
1983-03-01,31.131266854711818
1983-04-01,35.213479539682645
1983-05-01,36.70212171456452
1983-06-01,32.53432054132569
1983-07-01,32.50203919622568
1983-08-01,28.696320044222404
1983-09-01,28.387670584587948
1983-10-01,28.624569324161683
1983-11-01,23.43050556537681
1983-12-01,24.514774611728377
1984-01-01,26.353880683462105
1984-02-01,27.62926984518862
1984-03-01,33.47614217371727
1984-04-01,35.86830731687011
1984-05-01,37.599597299452896
1984-06-01,30.478594167012336
1984-07-01,27.383699608937984
1984-08-01,31.342365548792465
1984-09-01,29.43540072427216
1984-10-01,29.525712111792252
1984-11-01,23.378476443625118
1984-12-01,27.499044647118264
1985-01-01,21.945424688943426
1985-02-01,25.11376551161959
1985-03-01,33.040461836032094
1985-04-01,34.22744689155858
1985-05-01,38.14416928552448
1985-06-01,33.91377620213613
1985-07-01,27.732879218895565
1985-08-01,28.17757496865353
1985-09-01,27.589661695988827
1985-10-01,26.874221758349346
1985-11-01,27.586018743382585
1985-12-01,27.2047673564107
1986-01-01,32.28934241130974
1986-02-01,25.124544825568965
1986-03-01,32.99598128775518
1986-04-01,34.957716839774854
1986-05-01,32.47225473459029
1986-06-01,36.202694235025014
1986-07-01,25.503401311946238
1986-08-01,33.503090366498476
1986-09-01,28.48486377142005
1986-10-01,28.531704081784014
1986-11-01,28.138039631642187
1986-12-01,28.151611164070523
1987-01-01,21.528838955292382
1987-02-01,26.014667436109157
1987-03-01,30.645890327210992
1987-04-01,34.95951329905248
1987-05-01,34.821248336371475
1987-06-01,30.60725225860021
1987-07-01,27.98284740841213
1987-08-01,29.176295959865868
1987-09-01,30.374295789670214
1987-10-01,28.377034657562344
1987-11-01,25.96678552180265
1987-12-01,19.12335642528079
1988-01-01,28.20888053611087
1988-02-01,31.55289540757167
1988-03-01,33.52237976811569
1988-04-01,34.0977901321556
1988-05-01,39.53401459963032
1988-06-01,34.17818437156939
1988-07-01,30.645709912388128
1988-08-01,28.651080533160396
1988-09-01,31.487640583804932
1988-10-01,25.067206718956054
1988-11-01,26.60424964773256
1988-12-01,28.154086545977144
1989-01-01,30.928700690152812
1989-02-01,31.935890757292132
1989-03-01,33.034673605921824
1989-04-01,37.53340494701737
1989-05-01,37.67411690141157
1989-06-01,33.87751732475408
1989-07-01,31.758771039526142
1989-08-01,26.9518621614166
1989-09-01,29.832236000023233
1989-10-01,29.381465690533098
1989-11-01,21.034039743295093
1989-12-01,17.83532114111559
1990-01-01,29.543055485840988
1990-02-01,32.62071685788165
1990-03-01,34.112745545885005
1990-04-01,35.29352105384002
1990-05-01,40.96149042892751
1990-06-01,33.808665200751875
1990-07-01,36.074499602576786
1990-08-01,26.217678408197425
1990-09-01,30.599281153342872
1990-10-01,27.5985850946874
1990-11-01,24.404429173803994
1990-12-01,27.648681738366665
1991-01-01,27.271097953339744
