datetime,Dry mixing ratio of species O3 (mol mol-1 dry),Dry mixing ratio of species NO (mol mol-1 dry),Dry mixing ratio of species NO2 (mol mol-1 dry),OH concentration immediately after chemistry (molec cm-3),HO2 concentration immediately after chemistry (mol mol-1),Photolysis rate for O3 -> O1D (s-1),Photolysis rate for species NO2 (s-1)
2018-01-01 00:30:00,3.3258207e-08,1.3088138e-13,7.439696e-11,5781.0513,1.7905351e-13,0.06971419,0.0
2018-01-01 01:30:00,3.316052e-08,1.3144595e-13,7.647016e-11,5753.347,1.7821741e-13,0.06971419,0.0
2018-01-01 02:30:00,3.3058782e-08,1.3205043e-13,7.838419e-11,5704.6943,1.770919e-13,0.06971419,0.0
2018-01-01 03:30:00,3.2957878e-08,1.3095749e-13,8.001803e-11,5672.2036,1.7659211e-13,0.06971419,0.0
2018-01-01 04:30:00,3.2862495e-08,1.2953898e-13,8.1139984e-11,5670.4946,1.7697662e-13,0.06971419,0.0
2018-01-01 05:30:00,3.2768583e-08,1.2790076e-13,8.1606555e-11,5653.5977,1.7677424e-13,0.06971419,0.0
2018-01-01 06:30:00,3.2663362e-08,1.275416e-13,8.204699e-11,5639.03,1.7641768e-13,0.06971419,0.0
2018-01-01 07:30:00,3.2545866e-08,1.3091968e-13,8.229375e-11,5624.341,1.7594399e-13,0.06971419,0.0
2018-01-01 08:30:00,3.2398145e-08,2.331077e-12,6.928982e-11,63287.312,6.9949054e-13,0.069714315,0.00050964655
2018-01-01 09:30:00,3.2239857e-08,1.1734056e-11,6.028014e-11,592095.94,3.197131e-12,0.06971603,0.0033029018
2018-01-01 10:30:00,3.2108026e-08,1.7253289e-11,5.4168642e-11,1673090.1,6.836706e-12,0.06972234,0.005809395
2018-01-01 11:30:00,3.2003854e-08,1.8493916e-11,4.9849725e-11,2851293.0,1.0138698e-11,0.06973495,0.007165062
2018-01-01 12:30:00,3.1915935e-08,1.8960276e-11,4.7980703e-11,3798282.2,1.2498961e-11,0.06975305,0.007937209
2018-01-01 13:30:00,3.1888906e-08,1.9284345e-11,4.7615217e-11,4270040.0,1.3648651e-11,0.06977371,0.008248196
2018-01-01 14:30:00,3.1911576e-08,1.9521152e-11,4.8678776e-11,4116154.2,1.3419574e-11,0.06979302,0.008073908
2018-01-01 15:30:00,3.1979226e-08,1.966068e-11,5.130387e-11,3371796.5,1.1793064e-11,0.069807604,0.007428578
2018-01-01 16:30:00,3.2090977e-08,1.9437016e-11,5.6318467e-11,2239998.8,8.889543e-12,0.06981589,0.0062881312
2018-01-01 17:30:00,3.221653e-08,1.6576853e-11,6.5770764e-11,998162.6,5.004204e-12,0.06981878,0.0042133285
2018-01-01 18:30:00,3.2330366e-08,6.3176187e-12,8.1663606e-11,152376.98,1.3905927e-12,0.06981915,0.0011701027
2018-01-01 19:30:00,3.237289e-08,3.4684728e-13,9.1431154e-11,6384.635,1.8812371e-13,0.06981915,2.2986637e-06
2018-01-01 20:30:00,3.2317573e-08,1.658047e-13,1.0176126e-10,7739.931,2.3876132e-13,0.06981915,0.0
2018-01-01 21:30:00,3.223093e-08,1.415287e-13,1.0953021e-10,8063.4663,2.5193633e-13,0.06981915,0.0
2018-01-01 22:30:00,3.2129545e-08,1.3809559e-13,1.1401976e-10,7994.8706,2.520892e-13,0.06981915,0.0
2018-01-01 23:30:00,3.2015603e-08,1.3720741e-13,1.16394804e-10,7805.336,2.4796002e-13,0.06981915,0.0
2018-01-02 00:30:00,3.188483e-08,1.3648585e-13,1.1795354e-10,7638.5757,2.43296e-13,0.06981915,0.0
2018-01-02 01:30:00,3.1752148e-08,1.36381e-13,1.1920552e-10,7456.123,2.3882364e-13,0.06981915,0.0
2018-01-02 02:30:00,3.1632037e-08,1.3537743e-13,1.1970944e-10,7288.289,2.3458622e-13,0.06981915,0.0
2018-01-02 03:30:00,3.1533197e-08,1.3428471e-13,1.1851152e-10,7108.8076,2.294753e-13,0.06981915,0.0
2018-01-02 04:30:00,3.1460633e-08,1.3276464e-13,1.156196e-10,6893.9316,2.2233009e-13,0.06981915,0.0
2018-01-02 05:30:00,3.139807e-08,1.3098864e-13,1.1187398e-10,6652.7646,2.1400624e-13,0.06981915,0.0
2018-01-02 06:30:00,3.1323793e-08,1.3197787e-13,1.0867961e-10,6435.753,2.0604143e-13,0.06981915,0.0
2018-01-02 07:30:00,3.1226982e-08,1.3211829e-13,1.06241994e-10,6249.66,1.9964676e-13,0.06981915,0.0
2018-01-02 08:30:00,3.1122788e-08,3.5855687e-12,1.0539138e-10,48520.727,6.273511e-13,0.06981928,0.0004816572
2018-01-02 09:30:00,3.1041395e-08,1.8225987e-11,9.1610663e-11,547982.6,3.0116601e-12,0.06982091,0.0030356476
2018-01-02 10:30:00,3.1033657e-08,2.5341569e-11,7.704929e-11,1728737.6,6.8558184e-12,0.06982698,0.0054967226
2018-01-02 11:30:00,3.107573e-08,2.4912293e-11,6.5838175e-11,2964684.2,1.0327046e-11,0.06983919,0.006850093
2018-01-02 12:30:00,3.111645e-08,2.3580565e-11,5.906484e-11,3904753.8,1.2737778e-11,0.06985671,0.007616186
2018-01-02 13:30:00,3.1201207e-08,2.2558594e-11,5.5531437e-11,4325539.5,1.383958e-11,0.069876686,0.007925706
2018-01-02 14:30:00,3.131467e-08,2.1749616e-11,5.445843e-11,4108577.0,1.35191285e-11,0.069895305,0.007747794
2018-01-02 15:30:00,3.1459745e-08,2.1099797e-11,5.571843e-11,3303052.5,1.1775782e-11,0.06990927,0.0070949853
2018-01-02 16:30:00,3.162917e-08,2.0183574e-11,5.973435e-11,2128734.8,8.754397e-12,0.069917105,0.0059422003
2018-01-02 17:30:00,3.1783e-08,1.6449272e-11,6.870583e-11,898772.44,4.811502e-12,0.06991978,0.003854483
2018-01-02 18:30:00,3.1894174e-08,5.8523585e-12,8.393889e-11,128574.69,1.2805083e-12,0.06992012,0.0010176331
2018-01-02 19:30:00,3.193161e-08,3.2113754e-13,9.073453e-11,5915.2246,1.7667234e-13,0.06992012,2.2018532e-06
2018-01-02 20:30:00,3.187539e-08,1.5844222e-13,9.831509e-11,7272.6836,2.2680151e-13,0.06992012,0.0
2018-01-02 21:30:00,3.1794904e-08,1.3770975e-13,1.0375365e-10,7580.6714,2.388589e-13,0.06992012,0.0
2018-01-02 22:30:00,3.1702868e-08,1.3378435e-13,1.0659816e-10,7518.888,2.3856186e-13,0.06992012,0.0
2018-01-02 23:30:00,3.160428e-08,1.3219231e-13,1.07764166e-10,7348.9077,2.3433864e-13,0.06992012,0.0
2018-01-03 00:30:00,3.1511625e-08,1.3101099e-13,1.07640154e-10,7163.9883,2.2919055e-13,0.06992012,0.0
2018-01-03 01:30:00,3.1426207e-08,1.3030518e-13,1.0669018e-10,6954.572,2.2276941e-13,0.06992012,0.0
2018-01-03 02:30:00,3.1341784e-08,1.2982741e-13,1.0539202e-10,6742.833,2.1589425e-13,0.06992012,0.0
2018-01-03 03:30:00,3.1255897e-08,1.294003e-13,1.03999746e-10,6551.2285,2.0951891e-13,0.06992012,0.0
