,lon,lat,region
0,-162.7200,55.2100,pacific
13,144.6900,-40.6830,pacific
17,144.6560,13.3860,pacific
23,-154.8200,19.5200,pacific
28,-177.3800,28.2100,pacific
30,-155.5763,19.5362,pacific
38,174.1260,52.7112,pacific
39,-170.5644,-14.2474,pacific
