,analysis_value,geo_2x25,all_2x25
2016-07-20,70.957,29.06636,27.750011
2016-07-25,51.685500000000005,29.450966,31.525396
2016-08-02,72.582,101.71837,86.15118
2016-08-08,49.0175,13.382559,12.502405
2016-08-17,62.666999999999994,152.49915,129.5881
2016-08-22,85.121,23.935951,22.801123
2016-09-08,48.358999999999995,36.415966,34.634167
2016-09-16,101.50750000000001,65.39854,65.59632
2016-09-19,100.91199999999999,60.543114,61.677315
2016-09-27,61.587999999999994,90.65053,89.10412
2016-10-06,734.23,984.92755,805.5392
2016-10-11,658.0964999999999,1136.487,921.38116
2016-10-17,293.597,538.47644,449.03262
2016-10-25,930.2155,1844.2937,1496.477
2016-11-03,163.1225,264.63925,238.70853
2016-11-09,268.979,373.3977,360.4364
2016-11-14,88.34299999999999,78.31362,73.81419
2016-11-22,691.7890000000001,1065.7375,882.7433
2016-12-07,167.0185,312.60944,283.63834
2016-12-14,390.722,566.8966,518.8956
2016-12-20,661.896,750.1966,693.3425
2016-12-30,279.1475,490.70602,424.62595
2016-01-06,533.274,995.82306,883.4571
2016-01-13,1035.7005,2191.5193,1852.5702
2016-01-20,655.4095,1306.7543,1138.4229
2016-01-22,739.8035,637.05554,585.5597
2016-02-02,415.42049999999995,485.69177,449.79675
2016-02-10,672.032,1173.1194,1038.3767
2016-02-17,1110.9725,1582.9227,1346.6145
2016-02-24,963.7355,1271.095,1103.7871
2016-03-02,599.713,451.92908,418.2839
2016-04-20,275.584,470.2298,403.39697
2016-05-04,181.897,567.8297,467.23874
2016-05-11,268.5305,431.07315,345.9692
2016-05-18,195.5065,549.5734,444.90607
2016-06-01,364.71299999999997,742.30164,592.4936
2016-06-08,363.0400000000001,365.46472,293.58353
2016-06-15,184.752,346.12396,282.9919
2016-06-22,131.377,308.44974,246.55634
2016-06-28,232.298,300.479,241.65839
2016-07-07,371.04,419.44727,337.26474
2016-07-13,258.87300000000005,393.12357,315.89124
2016-07-20,272.0775,230.49046,185.36969
2016-07-27,307.454,516.10016,411.69986
2016-09-07,286.983,392.94528,313.71304
2016-09-14,377.2745,431.67252,345.09137
2016-09-21,273.103,424.31995,342.91046
2016-09-28,522.508,674.7115,542.9063
2016-10-05,319.1225,307.22183,258.99072
2016-10-12,1268.652,2042.0088,1641.5358
2016-10-19,344.6335,817.904,667.10956
2016-10-26,881.1015,1510.7305,1222.6407
2016-11-02,403.528,846.4203,697.57245
2016-11-09,784.0640000000001,1508.2073,1229.7616
