,Lon,Lat,Alt
0,11.009619,47.8014984131,1000.0
5,24.116111111,67.973333333,565.0
7,7.985,46.5475,3580.0
9,8.463889,47.0675,1034.0
11,-24.86752,16.86403,10.0
15,10.97964,47.4165,2671.0
19,11.88668,78.90715,474.0
32,10.7014294564,44.193205336,2165.0
