,CEDS,MEIC
HCHO,0.00757644372060895,0.021750743139667295
EOH,0.06368847191333771,
Ethane,0.04591182619333267,0.11497679071501682
Propane,0.03610139712691307,0.050992995566764045
Propene,0.02798413299024105,0.1879145584316443
Ketones,0.05231331288814545,0.007904556439182808
ALK4,0.5091235637664795,0.2833918293411556
Benzene,0.04245062544941902,0.06117357559847256
Toluene,0.090303435921669,0.16307994459176597
Xylene,0.12454681098461151,0.10881500617633051
