,CEDS,NEI
CH2O,0.019570109110192756,0.0131561107764699
EOH,0.012310809847904704,0.0643882084675375
Ethane,0.01945299571476987,0.1182048687587281
Propane,0.029054250148863897,0.0855159585002886
Propene,0.013963653494058295,0.0311500143874052
Ketones,0.030833188365884535,0.0041133837976797
ALK4,0.3742203869446246,0.3851245114312466
Benzene,0.03331139818425578,0.017851709699226
Toluene,0.055735946390556915,0.052112179458214
Xylene,0.05403726522391107,0.0523032236572773
